Subject Number,Subject,Review Board,Subject Area,Scientific Discipline,Fachnummer,Fach,Fachkollegium,Fachgebiet,Wissenschaftsbereich
1.11-01,Prehistory and World Archaeology,"1.11
Ancient Cultures","11
Humanities","1 
Humanities and Social Sciences",1.11-01,Ur- und Frühgeschichte (weltweit),"1.11
Alte Kulturen","11
Geisteswissenschaften","1 
Geistes- und Sozialwissenschaften"
1.11-02,Greek and Latin Philology,"1.11
Ancient Cultures","11
Humanities","1 
Humanities and Social Sciences",1.11-02,Griechische und Lateinische Philologie,"1.11
Alte Kulturen","11
Geisteswissenschaften","1 
Geistes- und Sozialwissenschaften"
1.11-03,Ancient History,"1.11
Ancient Cultures","11
Humanities","1 
Humanities and Social Sciences",1.11-03,Alte Geschichte,"1.11
Alte Kulturen","11
Geisteswissenschaften","1 
Geistes- und Sozialwissenschaften"
1.11-04,"Classical, Roman, Christian and Islamic Archaeology","1.11
Ancient Cultures","11
Humanities","1 
Humanities and Social Sciences",1.11-04,"Klassische, Provinzialrömische, Christliche und Islamische Archäologie","1.11
Alte Kulturen","11
Geisteswissenschaften","1 
Geistes- und Sozialwissenschaften"
1.11-05,Egyptology and Ancient Near Eastern Studies,"1.11
Ancient Cultures","11
Humanities","1 
Humanities and Social Sciences",1.11-05,Ägyptische und Vorderasiatische Altertumswissenschaften,"1.11
Alte Kulturen","11
Geisteswissenschaften","1 
Geistes- und Sozialwissenschaften"
1.12-01,Medieval History,"1.12 
History","11
Humanities","1 
Humanities and Social Sciences",1.12-01,Mittelalterliche Geschichte,"1.12 
Geschichtswissenschaften","11
Geisteswissenschaften","1 
Geistes- und Sozialwissenschaften"
1.12-02,Early Modern History,"1.12 
History","11
Humanities","1 
Humanities and Social Sciences",1.12-02,Frühneuzeitliche Geschichte,"1.12 
Geschichtswissenschaften","11
Geisteswissenschaften","1 
Geistes- und Sozialwissenschaften"
1.12-03,Modern and Contemporary History,"1.12 
History","11
Humanities","1 
Humanities and Social Sciences",1.12-03,Neuere und Neueste Geschichte (einschl. Europäische Geschichte der Neuzeit und Außereuropäische Geschichte),"1.12 
Geschichtswissenschaften","11
Geisteswissenschaften","1 
Geistes- und Sozialwissenschaften"
1.12-04,History of Science,"1.12 
History","11
Humanities","1 
Humanities and Social Sciences",1.12-04,Wissenschaftsgeschichte,"1.12 
Geschichtswissenschaften","11
Geisteswissenschaften","1 
Geistes- und Sozialwissenschaften"
1.13-01,Art History,"1.13
Art History, Music, Theatre and Media Studies","11
Humanities","1 
Humanities and Social Sciences",1.13-01,Kunstgeschichte,"1.13
Kunst-, Musik-, Theater- und Medienwissenschaften","11
Geisteswissenschaften","1 
Geistes- und Sozialwissenschaften"
1.13-02,Musicology,"1.13
Art History, Music, Theatre and Media Studies","11
Humanities","1 
Humanities and Social Sciences",1.13-02,Musikwissenschaften,"1.13
Kunst-, Musik-, Theater- und Medienwissenschaften","11
Geisteswissenschaften","1 
Geistes- und Sozialwissenschaften"
1.13-03,Theatre and Media Studies,"1.13
Art History, Music, Theatre and Media Studies","11
Humanities","1 
Humanities and Social Sciences",1.13-03,Theater- und Medienwissenschaften,"1.13
Kunst-, Musik-, Theater- und Medienwissenschaften","11
Geisteswissenschaften","1 
Geistes- und Sozialwissenschaften"
1.14-01,"General and Comparative Linguistics, Experimental Linguistics, Typology, Non-European Languages","1.14
Linguistics","11
Humanities","1 
Humanities and Social Sciences",1.14-01,"Allgemeine und Vergleichende Sprachwissenschaft, Experimentelle Linguistik, Typologie, Außereuropäische Sprachen","1.14
Sprachwissenschaften","11
Geisteswissenschaften","1 
Geistes- und Sozialwissenschaften"
