Subject Number,Subject,Review Board,Subject Area,Scientific Discipline,Fachnummer,Fach,Fachkollegium,Fachgebiet,Wissenschaftsbereich
101-01,Prehistory and World Archaeology,"101 
Ancient Cultures","11
Humanities","1 
Humanities and Social Sciences",101-01,Ur- und Frühgeschichte (weltweit),"101 
Alte Kulturen","11
Geisteswissenschaften","1 
Geistes- und Sozialwissenschaften"
101-02,Classical Philology,"101 
Ancient Cultures","11
Humanities","1 
Humanities and Social Sciences",101-02,Klassische Philologie,"101 
Alte Kulturen","11
Geisteswissenschaften","1 
Geistes- und Sozialwissenschaften"
101-03,Ancient History,"101 
Ancient Cultures","11
Humanities","1 
Humanities and Social Sciences",101-03,Alte Geschichte,"101 
Alte Kulturen","11
Geisteswissenschaften","1 
Geistes- und Sozialwissenschaften"
101-04,Classical Archaeology,"101 
Ancient Cultures","11
Humanities","1 
Humanities and Social Sciences",101-04,Klassische Archäologie,"101 
Alte Kulturen","11
Geisteswissenschaften","1 
Geistes- und Sozialwissenschaften"
101-05,Egyptology and Ancient Near Eastern Studies,"101 
Ancient Cultures","11
Humanities","1 
Humanities and Social Sciences",101-05,Ägyptische und Vorderasiatische Altertumswissenschaften,"101 
Alte Kulturen","11
Geisteswissenschaften","1 
Geistes- und Sozialwissenschaften"
102-01,Medieval History,"102 
History","11
Humanities","1 
Humanities and Social Sciences",102-01,Mittelalterliche Geschichte,"102 
Geschichtswissenschaften","11
Geisteswissenschaften","1 
Geistes- und Sozialwissenschaften"
102-02,Early Modern History,"102 
History","11
Humanities","1 
Humanities and Social Sciences",102-02,Frühneuzeitliche Geschichte,"102 
Geschichtswissenschaften","11
Geisteswissenschaften","1 
Geistes- und Sozialwissenschaften"
102-03,Modern and Current History,"102 
History","11
Humanities","1 
Humanities and Social Sciences",102-03,Neuere und Neueste Geschichte (einschl. Europäische Geschichte der Neuzeit und Außereuropäische Geschichte),"102 
Geschichtswissenschaften","11
Geisteswissenschaften","1 
Geistes- und Sozialwissenschaften"
102-04,History of Science,"102 
History","11
Humanities","1 
Humanities and Social Sciences",102-04,Wissenschaftsgeschichte,"102 
Geschichtswissenschaften","11
Geisteswissenschaften","1 
Geistes- und Sozialwissenschaften"
103-01,Art History,"102 
History","11
Humanities","1 
Humanities and Social Sciences",103-01,Kunstgeschichte,"103 
Kunst-, Musik-, Theater- und Medienwissenschaften","11
Geisteswissenschaften","1 
Geistes- und Sozialwissenschaften"
103-02,Musicology,"102 
History","11
Humanities","1 
Humanities and Social Sciences",103-02,Musikwissenschaften,"103 
Kunst-, Musik-, Theater- und Medienwissenschaften","11
Geisteswissenschaften","1 
Geistes- und Sozialwissenschaften"
103-03,Theatre and Media Studies,"102 
History","11
Humanities","1 
Humanities and Social Sciences",103-03,Theater- und Medienwissenschaften,"103 
Kunst-, Musik-, Theater- und Medienwissenschaften","11
Geisteswissenschaften","1 
Geistes- und Sozialwissenschaften"
