Subject Number,Subject,Review Board,Subject Area,Scientific Discipline
101-01,Prehistory and World Archaeology,"101 
Ancient Cultures","11
 Humanities","1 
Humanities and Social Sciences"
101-02,Classical Philology,"101 
Ancient Cultures","11
 Humanities","1 
Humanities and Social Sciences"
101-03,Ancient History,"101 
Ancient Cultures","11
 Humanities","1 
Humanities and Social Sciences"
101-04,Classical Archaeology,"101 
Ancient Cultures","11
 Humanities","1 
Humanities and Social Sciences"
101-05,Egyptology and Ancient Near Eastern Studies,"101 
Ancient Cultures","11
 Humanities","1 
Humanities and Social Sciences"
102-01,Medieval History,"102 
History","11
 Humanities","1 
Humanities and Social Sciences"
102-02,Early Modern History,"102 
History","11
 Humanities","1 
Humanities and Social Sciences"
102-03,Modern and Current History,"102 
History","11
 Humanities","1 
Humanities and Social Sciences"
102-04,History of Science,"102 
History","11
 Humanities","1 
Humanities and Social Sciences"
103-01,Art History,"102 
History","11
 Humanities","1 
Humanities and Social Sciences"
103-02,Musicology,"102 
History","11
 Humanities","1 
Humanities and Social Sciences"
103-03,Theatre and Media Studies,"102 
History","11
 Humanities","1 
Humanities and Social Sciences"
104-01,"General and Comparative Linguistics, Typology, Non-European Languages","104 
Linguistics","11
 Humanities","1 
Humanities and Social Sciences"
104-02,Individual Linguistics,"104 
Linguistics","11
 Humanities","1 
Humanities and Social Sciences"
104-03,Historical Linguistics,"104 
Linguistics","11
 Humanities","1 
Humanities and Social Sciences"
104-04,"Applied Linguistics, Experimental Linguistics, Computational Linguistics","104 
Linguistics","11
 Humanities","1 
Humanities and Social Sciences"
105-01,Medieval German Literature,"105 
Literary Studies","11
 Humanities","1 
Humanities and Social Sciences"
105-02,Modern German Literature,"105 
Literary Studies","11
 Humanities","1 
Humanities and Social Sciences"
105-03,European and American Literature,"105 
Literary Studies","11
 Humanities","1 
Humanities and Social Sciences"
105-04,General and Comparative Literature and Cultural Studies,"105 
Literary Studies","11
 Humanities","1 
Humanities and Social Sciences"
106-01,Social and Cultural Anthropology and Ethnology ,"106 
Social and Cultural Anthropology, Non-European Cultures, Jewish Studies and Religious Studies","11
 Humanities","1 
Humanities and Social Sciences"
106-02,Asian Studies,"106 
Social and Cultural Anthropology, Non-European Cultures, Jewish Studies and Religious Studies","11
 Humanities","1 
Humanities and Social Sciences"
